"Month","Average daily cargo flights","Average daily passenger flights","Average flight distance (NM)","Average_daily_flights","Percent_Change_from_Start_Day","Cargo_Flights_Percent_Change","Passenger_Flights_Percent_Change","Flight_Distance_Percent_Change"
2019-01-01,30,157,4721.9487899508,187,0,0,0,0
2019-02-01,23.25,151.678571428571,4717.24064737756,174.928571428571,-6.45530939648587,-22.5,-3.38944494995451,-0.0997076161280583
2019-03-01,32.5806451612903,160.741935483871,4744.35578817438,193.322580645161,3.38105916853544,8.6021505376344,2.38339839737005,0.474528615627236
2019-04-01,32.7666666666667,180.5,4719.34733822572,213.266666666667,14.0463458110517,9.22222222222222,14.968152866242,-0.0550927559955489
2019-05-01,30.7096774193548,183.258064516129,4702.6986662255,213.967741935484,14.4212523719165,2.36559139784947,16.724881857407,-0.40767328451905
2019-06-01,30.1666666666667,191.133333333333,4674.96594707953,221.3,18.3422459893048,0.555555555555559,21.7409766454353,-0.994988403331636
2019-07-01,29.5806451612903,196.032258064516,4669.401734044,225.612903225806,20.6486113506986,-1.39784946236559,24.8613108691186,-1.1128256201895
2019-08-01,28.7096774193548,193.838709677419,4668.96016403561,222.548387096774,19.0098326720718,-4.3010752688172,23.4641462913499,-1.12217705596391
2019-09-01,30.7,195.433333333333,4680.4374245912,226.133333333333,20.9269162210339,2.33333333333333,24.47983014862,-0.879115111285069
2019-10-01,30.1290322580645,185.58064516129,4687.17609902218,215.709677419355,15.3527686734518,0.43010752688172,18.2042325868091,-0.736405507036078
2019-11-01,34.9,166.866666666667,4703.49147141647,201.766666666667,7.89661319073084,16.3333333333333,6.28450106157113,-0.390883496526157
2019-12-01,31.9677419354839,161.064516129032,4708.38374190506,193.032258064516,3.2258064516129,6.55913978494624,2.58886377645367,-0.287276475225838
2020-01-01,27.8387096774194,162.451612903226,4706.16419861242,190.290322580645,1.75953079178885,-7.20430107526881,3.47236490651324,-0.334281290216036
2020-02-01,19.3448275862069,56.3448275862069,4856.42837109704,75.6896551724138,-59.5242485709017,-35.5172413793103,-64.1115747858555,2.8479678016084
2020-03-01,25.3870967741935,36.5806451612903,4921.45156268471,61.9677419354839,-66.8621700879765,-15.3763440860215,-76.700226011917,4.22500924106762
2020-04-01,31.2,85.2333333333333,4842.91782179393,116.433333333333,-37.7361853832442,4,-45.7112526539278,2.56184548423242
2020-05-01,33.2258064516129,156.064516129032,4794.79885514802,189.290322580645,1.22477143350008,10.752688172043,-0.595849599342512,1.54279659602107
2020-06-01,36.4666666666667,102.633333333333,4818.85855274789,139.1,-25.6149732620321,21.5555555555556,-34.6284501061571,2.05232557801822
2020-07-01,32.8064516129032,59,4881.66801562012,91.8064516129032,-50.9056408487149,9.35483870967741,-62.4203821656051,3.38248534184088
2020-08-01,31.5161290322581,48.9354838709677,4854.58017808444,80.4516129032258,-56.9777471105744,5.05376344086021,-68.8309019930142,2.80882733027318
2020-09-01,32.4666666666667,55.9666666666667,4873.73274159488,88.4333333333333,-52.7094474153298,8.22222222222223,-64.3524416135881,3.21443451413757
2020-10-01,34.3225806451613,61.5161290322581,4889.18275254054,95.8387096774194,-48.7493531136795,14.4086021505376,-60.8177522087528,3.54163016222534
2020-11-01,43.2333333333333,91.9,4843.80715176663,135.133333333333,-27.7361853832442,44.1111111111111,-41.4649681528662,2.58067944479116
2020-12-01,39.5161290322581,84.8064516129032,4951.61868885315,124.322580645161,-33.5173365533897,31.7204301075269,-45.9831518389151,4.86387949380418
2021-01-01,42.258064516129,74.0645161290323,4937.1561714544,116.322580645161,-37.7954114196998,40.8602150537634,-52.8251489623998,4.55759668469081
2021-02-01,37.2857142857143,73.3928571428571,4977.91670845457,110.678571428571,-40.8135981665394,24.2857142857143,-53.252957233849,5.42081098059588
2021-03-01,40.6774193548387,78.9032258064516,4965.7445724507,119.58064516129,-36.0531309297913,35.5913978494624,-49.7431682761455,5.16303317432701
2021-04-01,43.5666666666667,82.4333333333333,4943.85776475636,126,-32.620320855615,45.2222222222222,-47.4946921443737,4.69952099603082
2021-05-01,41.7741935483871,82.258064516129,4916.58006393615,124.032258064516,-33.6725892703122,39.247311827957,-47.6063283336758,4.12184211738085
2021-06-01,40.3666666666667,68.2,4915.12240885166,108.566666666667,-41.9429590017825,34.5555555555556,-56.5605095541401,4.09097233989424
2021-07-01,37.8387096774194,62.6129032258065,4926.9423845156,100.451612903226,-46.282559944799,26.1290322580645,-60.1191699198685,4.34129220124251
2021-08-01,35.3548387096774,60.8387096774194,4931.61674240766,96.1935483870968,-48.5595997929964,17.8494623655914,-61.2492295048284,4.44028433563426
2021-09-01,35.6333333333333,67.9333333333333,4916.97218222643,103.566666666667,-44.6167557932264,18.7777777777778,-56.7303609341826,4.13014627966059
2021-10-01,37.0322580645161,77.0645161290323,4899.50311460288,114.096774193548,-38.9856822494394,23.4408602150538,-50.9143209369221,3.76019166133154
2021-11-01,37.7333333333333,89.9666666666667,4847.12226734187,127.7,-31.7112299465241,25.7777777777778,-42.6963906581741,2.65088595745587
2021-12-01,35.2258064516129,98.0322580645161,4861.47551732353,133.258064516129,-28.7390029325513,17.4193548387097,-37.5590712964865,2.95485473433472
2022-01-01,33.6129032258064,96.4193548387097,4896.11398815792,130.032258064516,-30.4640331205796,12.0430107526882,-38.5863981919047,3.68841776890442
2022-02-01,28.7142857142857,75.75,4913.2186051441,104.464285714286,-44.1367456073338,-4.28571428571428,-51.7515923566879,4.05065416211966
2022-03-01,32.1612903225806,86.3548387096774,4986.55111805112,118.516129032258,-36.6223908918406,7.20430107526883,-44.9969180193138,5.60366788948329
2022-04-01,29.8333333333333,71.5333333333333,4957.59450079598,101.366666666667,-45.7932263814617,-0.555555555555559,-54.4373673036093,4.99043342754317
2022-05-01,28.6451612903226,73.0322580645161,4954.62342451143,101.677419354839,-45.6270484733483,-4.51612903225807,-53.4826381754674,4.92751287468
2022-06-01,29.9,77.5666666666667,4989.82288919506,107.466666666667,-42.5311942959002,-0.333333333333338,-50.5944798301486,5.6729564669219
2022-07-01,29.3870967741935,56.9354838709677,5008.67113353618,86.3225806451613,-53.8381921683629,-2.04301075268817,-63.7353605917403,6.0721188716739
2022-08-01,27.5806451612903,48,5025.02497091397,75.5806451612903,-59.5825426944972,-8.06451612903225,-69.4267515923567,6.41845548194352
2022-09-01,29.0666666666667,58.5,4998.20133697275,87.5666666666667,-53.1729055258467,-3.11111111111111,-62.7388535031847,5.85039269400516
2022-10-01,31.2903225806452,55.1612903225806,5008.37268617956,86.4516129032258,-53.7691909608418,4.3010752688172,-64.8654201767002,6.06579844403061
2022-11-01,33.9333333333333,52.5,5083.36592604434,86.4333333333333,-53.7789661319073,13.1111111111111,-66.5605095541401,7.65398254345113
2022-12-01,29.5161290322581,47.9677419354839,5150.24306524831,77.4838709677419,-58.5647748835605,-1.61290322580645,-69.447298130265,9.07028632349836
2023-01-01,28.9677419354839,39.6451612903226,5191.12174402516,68.6129032258064,-63.3086079006383,-3.44086021505376,-74.7483049106226,9.93600259013498
2023-02-01,34.3571428571429,42.5714285714286,5182.34207994789,76.9285714285714,-58.8617265087853,14.5238095238095,-72.884440400364,9.7500695258892
2023-03-01,48.7741935483871,48.4193548387097,5138.55860104429,97.1935483870968,-48.0248404347076,62.5806451612903,-69.159646599548,8.82283628276755
2023-04-01,45.0333333333333,76.5,5108.28395864115,121.533333333333,-35.0089126559715,50.1111111111111,-51.2738853503185,8.18168908380662
2023-05-01,43.9032258064516,94.3225806451613,5155.18142605767,138.225806451613,-26.0824564429878,46.3440860215054,-39.9219231559482,9.17486943163959
2023-06-01,44.6,113.066666666667,5137.01120755542,157.666666666667,-15.6862745098039,48.6666666666667,-27.9830148619958,8.79006605255744
2023-07-01,43.1290322580645,126.870967741935,5130.62665193987,170,-9.09090909090909,43.7634408602151,-19.1904664064105,8.65485586922956
2023-08-01,43.9032258064516,130.032258064516,5133.48741590636,173.935483870968,-6.98637226151458,46.3440860215054,-17.176905691391,8.7154402612622
2023-09-01,46.7333333333333,135.6,5144.49272670867,182.333333333333,-2.49554367201424,55.7777777777778,-13.6305732484076,8.94850739713899
2023-10-01,45.8064516129032,134.41935483871,5148.2459379811,180.225806451613,-3.62256339485941,52.6881720430108,-14.3825765358537,9.02799176766882
2023-11-01,51.0666666666667,135.366666666667,5160.65975340752,186.433333333333,-0.303030303030301,70.2222222222222,-13.7791932059448,9.2908877874826
2023-12-01,48.5161290322581,142.225806451613,5160.81114623383,190.741935483871,2.00103501811282,61.7204301075269,-9.41031436202998,9.29409393886297
